天气,75%运行时间（min）
晴,87.6492
多云,84.5405
雾,85.3876
雾霾,90.5109
阴,84.5405
小雨,85.3876
中雨,87.9492
大雨,90.5109
暴雨,94.7802
雷阵雨,94.7802
阵雨,94.7802
小雪,89.2301
中雪,91.907
大雪,94.5823
暴雪,99.0454
雨夹雪,90.5686
